City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,Bozeman,45.6796,-111.0386,66.69,40,0,0.0,US,2024-05-11 01:59:48
67,Mariinsk,56.2139,87.7472,58.01,78,100,9.78,RU,2024-05-11 01:59:48
68,Nemuro,43.3236,145.575,44.28,73,69,10.63,JP,2024-05-11 01:59:48
69,Muravlenko,63.7898,74.523,33.19,86,100,7.16,RU,2024-05-11 01:59:48
70,Uusikaupunki,60.8004,21.4084,36.95,86,0,6.82,FI,2024-05-11 01:59:48
71,Bangolo,7.0069,-7.475,74.84,99,100,2.8,CI,2024-05-11 01:59:48
72,Mejit,10.2753,170.8646,81.73,78,100,16.2,MH,2024-05-11 01:59:48
73,Malango,-2.9627,119.9001,81.45,55,11,4.25,ID,2024-05-11 01:59:48
74,Remire-Montjoly,4.9167,-52.2667,78.84,94,75,6.91,GF,2024-05-11 01:59:48
75,Qarah Bagh,34.9402,61.7759,50.61,83,0,5.5,AF,2024-05-11 01:59:48
76,Lazaro Cardenas,17.9583,-102.2,75.25,73,66,3.74,MX,2024-05-11 01:55:12
77,Cannonvale,-20.2833,148.7,78.58,66,2,15.01,AU,2024-05-11 01:59:48
78,Uturoa,-16.7333,-151.4333,82.49,78,4,11.14,PF,2024-05-11 01:59:49
79,Kenai,60.5544,-151.2583,46.49,46,20,13.8,US,2024-05-11 01:59:49
80,Butwal,27.7006,83.4484,86.58,45,35,6.69,NP,2024-05-11 01:59:49
81,Huarmey,-10.0681,-78.1522,68.47,85,33,7.78,PE,2024-05-11 01:59:49
82,Kone,-21.0595,164.8658,76.26,60,100,5.39,NC,2024-05-11 01:59:49
83,Aasiaat,68.7098,-52.8699,16.14,89,100,3.83,GL,2024-05-11 01:59:49
84,Cody,44.5263,-109.0565,62.82,37,0,5.75,US,2024-05-11 01:59:49
85,Mount Pearl,47.5166,-52.7813,34.14,96,100,11.5,CA,2024-05-11 01:59:49
86,Afaahiti,-17.75,-149.2833,82.27,83,32,15.61,PF,2024-05-11 01:59:49
87,Cururupu,-1.8283,-44.8683,74.43,98,92,0.13,BR,2024-05-11 01:55:41
88,Hermanus,-34.4187,19.2345,57.4,74,10,7.36,ZA,2024-05-11 01:59:49
89,Playa Del Ingles,27.7567,-15.5787,69.55,80,0,6.08,ES,2024-05-11 01:55:10
90,Longyearbyen,78.2186,15.6401,30.04,69,75,25.32,SJ,2024-05-11 01:59:50
91,Acapulco De Juarez,16.8634,-99.8901,74.35,70,44,4.12,MX,2024-05-11 01:57:59
92,Constantia,44.1833,28.65,48.88,67,76,13.53,RO,2024-05-11 01:59:50
93,Margaret River,-33.95,115.0667,65.88,54,0,7.58,AU,2024-05-11 01:59:50
94,Padang,-0.9492,100.3543,84.25,77,98,1.48,ID,2024-05-11 01:59:50
95,Ankpa,7.3706,7.6253,75.09,89,100,4.99,NG,2024-05-11 01:59:50
96,Stanley,54.868,-1.6985,53.62,88,0,1.14,GB,2024-05-11 01:59:50
97,St. John'S,47.5649,-52.7093,34.97,96,100,11.5,CA,2024-05-11 01:57:44
98,Whitehorse,60.7161,-135.0538,46.31,28,100,15.01,CA,2024-05-11 01:59:50
99,San Antonio De Pale,-1.4014,5.6325,79.83,86,91,9.22,GQ,2024-05-11 01:59:51
100,Shimoda,34.6667,138.95,75.11,62,39,10.07,JP,2024-05-11 01:59:51
101,Udachny,66.4167,112.4,19.45,88,100,1.07,RU,2024-05-11 01:59:51
102,Tura,25.5198,90.2201,76.44,75,100,0.2,IN,2024-05-11 01:59:51
103,Yucheng,34.9289,116.4653,68.79,24,100,16.42,CN,2024-05-11 01:59:51
104,Ujae,8.9322,165.7642,80.28,84,100,10.45,MH,2024-05-11 01:59:51
105,Papao,-17.75,-149.55,83.88,79,6,16.87,PF,2024-05-11 01:59:51
106,I-N-Salah,27.1935,2.4607,76.42,15,36,12.91,DZ,2024-05-11 01:59:51
107,Fisterra,42.9049,-9.2629,54.75,86,100,12.41,ES,2024-05-11 01:59:51
108,Tommot,58.9564,126.2925,44.47,60,100,2.13,RU,2024-05-11 01:59:51
109,La Passe,45.5549,-0.8967,61.03,90,9,7.29,FR,2024-05-11 01:59:51
110,Midoun,33.8081,10.9923,62.46,69,5,2.48,TN,2024-05-11 01:59:51
111,Gusinoozyorsk,51.2833,106.5,43.29,53,100,4.23,RU,2024-05-11 01:59:51
112,Bethel,41.3712,-73.414,49.95,83,95,2.13,US,2024-05-11 01:59:52
113,Khartsyz'K,48.0424,38.1473,44.15,44,1,2.84,UA,2024-05-11 01:55:31
114,Hawaiian Paradise Park,19.5933,-154.9731,77.04,85,100,12.66,US,2024-05-11 01:59:52
115,Scottburgh,-30.2867,30.7532,70.81,78,26,25.88,ZA,2024-05-11 01:59:52
116,Nova Sintra,14.8667,-24.7167,74.1,79,12,23.11,CV,2024-05-11 01:59:52
117,Tolanaro,-25.0319,46.9987,71.67,88,20,11.5,MG,2024-05-11 01:59:52
118,Ilulissat,69.2167,-51.1,14.36,88,100,3.96,GL,2024-05-11 01:59:52
119,Khandyga,62.6667,135.6,38.91,52,100,4.12,RU,2024-05-11 01:59:52
120,Bilibino,68.0546,166.4372,33.3,78,100,2.21,RU,2024-05-11 01:59:52
121,Santander Jimenez,24.2167,-98.4667,82.76,71,37,11.86,MX,2024-05-11 01:59:52
122,El Calafate,-50.3408,-72.2768,31.08,69,70,3.71,AR,2024-05-11 01:57:22
123,Kodiak,57.79,-152.4072,38.32,98,100,26.93,US,2024-05-11 01:59:53
124,Port Maria,18.3685,-76.8895,85.96,87,100,7.29,JM,2024-05-11 01:59:53
125,Taltal,-25.4,-70.4833,60.35,82,100,0.49,CL,2024-05-11 01:59:53
126,Bredasdorp,-34.5322,20.0403,53.04,78,8,7.34,ZA,2024-05-11 01:59:53
127,Lukolela,-1.0605,17.1821,73.33,85,99,2.68,CD,2024-05-11 01:59:53
128,Cole Harbour,44.6724,-63.4751,43.99,95,98,3.0,CA,2024-05-11 01:59:53
129,Santa Cruz,-17.8,-63.1667,76.46,94,20,11.5,BO,2024-05-11 01:59:14
130,Al Bardiyah,31.7561,25.0865,62.31,85,0,18.79,LY,2024-05-11 01:59:53
131,Vorgashor,67.5833,63.95,16.81,92,94,5.48,RU,2024-05-11 01:59:53
132,Madera,37.1666,-119.8343,86.43,37,100,5.17,US,2024-05-11 01:59:53
133,Batticaloa,7.7102,81.6924,81.75,83,100,2.57,LK,2024-05-11 01:59:53
134,Toliara,-23.35,43.6667,70.81,68,0,6.82,MG,2024-05-11 01:59:53
135,Kirovskiy,45.0917,133.5136,60.08,70,100,6.08,RU,2024-05-11 01:59:54
136,Thompson,55.7435,-97.8558,59.16,38,75,3.44,CA,2024-05-11 01:59:54
137,Talaja,21.35,72.05,84.09,60,0,3.8,IN,2024-05-11 01:59:54
138,Ketchikan,55.3422,-131.6461,55.35,62,0,11.5,US,2024-05-11 01:59:04
139,Tirumullaivasal,11.2333,79.8333,86.94,68,100,6.26,IN,2024-05-11 01:59:54
140,Vilyuchinsk,52.9306,158.4028,43.07,77,100,5.37,RU,2024-05-11 01:59:54
141,Kuraymah,18.55,31.85,84.7,10,26,6.55,SD,2024-05-11 01:59:54
142,Faya-Largeau,17.9257,19.1043,90.91,14,1,19.22,TD,2024-05-11 01:59:54
143,Naigarhi,24.7833,81.7833,88.2,36,87,5.08,IN,2024-05-11 01:59:54
144,Moratalla,38.1893,-1.8918,58.89,49,100,4.29,ES,2024-05-11 01:59:54
145,Xilin Hot,43.9667,116.0333,47.43,47,95,25.55,CN,2024-05-11 01:59:55
146,Al Mindak,20.1588,41.2834,67.6,61,2,2.06,SA,2024-05-11 01:59:55
147,Cabugao,17.7931,120.4578,88.9,58,0,8.32,PH,2024-05-11 01:59:55
148,Olonkinbyen,70.9221,-8.7187,26.82,67,100,5.37,SJ,2024-05-11 01:59:55
149,Illapel,-31.6308,-71.1653,47.55,82,87,2.64,CL,2024-05-11 01:55:14
150,Okhotsk,59.3833,143.3,32.31,99,100,4.09,RU,2024-05-11 01:59:55
151,Dudinka,69.4058,86.1778,15.67,91,33,10.0,RU,2024-05-11 01:59:55
152,Corbelia,-24.7989,-53.3067,72.73,58,100,1.88,BR,2024-05-11 01:59:55
153,Anar Darah,32.7587,61.654,60.62,52,0,12.71,AF,2024-05-11 01:59:55
154,Shirgaon,19.7,72.7,82.76,74,4,4.97,IN,2024-05-11 01:59:55
155,Kourou,5.1552,-52.6478,78.85,94,100,4.09,GF,2024-05-11 01:59:55
156,Rodolfo Sanchez Taboada,31.7167,-116.5667,63.1,69,30,3.0,MX,2024-05-11 01:59:55
157,Cabedelo,-6.9811,-34.8339,77.67,74,54,8.61,BR,2024-05-11 01:59:56
158,Takai,11.5833,9.1167,83.59,53,94,9.93,NG,2024-05-11 01:59:56
159,Tual,-5.6667,132.75,82.51,80,10,19.57,ID,2024-05-11 01:59:56
160,Tazovsky,67.4667,78.7,30.99,99,100,7.74,RU,2024-05-11 01:59:56
